Participant;Item;RT_ms;Step;Iteration;Voice;Condition;Response;VoiceCond
BD54;bid;894,89;4;3;male;ie;i;male_ie
BD54;bid;286,8199999;3;4;male;ie;ie;male_ie
BD54;bid;401,5599999;1;4;male;ie;i;male_ie
BD54;bid;261,495;2;4;male;ie;i;male_ie
BD54;bid;546,43;4;4;male;ie;i;male_ie
BD54;bid;421,12;3;5;male;ie;i;male_ie
BD54;bid;346,255;1;5;male;ie;i;male_ie
BD54;bid;369,4950001;2;5;male;ie;i;male_ie
BD54;bid;356,16;4;5;male;ie;i;male_ie
BD54;bid;402,165;3;6;male;ie;ie;male_ie
BD54;bid;163,8600001;1;6;male;ie;i;male_ie
BD54;bid;355,6400001;2;6;male;ie;i;male_ie
BD54;bid;1129,02;4;6;male;ie;i;male_ie
BD54;bid;243,105;3;7;male;ie;i;male_ie
BD54;bid;376,62;1;7;male;ie;i;male_ie
BD54;bid;385,2350001;2;7;male;ie;i;male_ie
BD54;bid;444,515;4;7;male;ie;ie;male_ie
BD54;bid;188,16;3;8;male;ie;ie;male_ie
BD54;bid;267,92;1;8;male;ie;i;male_ie
BD54;bid;657,87;2;8;male;ie;ie;male_ie
BD54;bid;598,8649999;4;8;male;ie;ie;male_ie
BD54;kist;741,915;2;1;male;ie;i;male_ie
BD54;kist;361,7199999;4;1;male;ie;ie;male_ie
BD54;kist;395,395;1;1;male;ie;i;male_ie
BD54;kist;434,305;3;1;male;ie;ie;male_ie
BD54;kist;1113,98;2;2;male;ie;ie;male_ie
BD54;kist;379,8100001;4;2;male;ie;ie;male_ie
BD54;kist;490,105;1;2;male;ie;i;male_ie
BD54;kist;424,95;3;2;male;ie;ie;male_ie
BD54;kist;697,8099999;2;3;male;ie;i;male_ie
BD54;kist;523,5799999;4;3;male;ie;ie;male_ie
BD54;kist;483,24;1;3;male;ie;i;male_ie
BD54;kist;784,365;3;3;male;ie;ie;male_ie
BD54;kist;293,865;2;4;male;ie;ie;male_ie
BD54;kist;109,7349999;4;4;male;ie;ie;male_ie
BD54;kist;170,38;1;4;male;ie;i;male_ie
BD54;kist;295,535;3;4;male;ie;i;male_ie
BD54;kist;758,38;2;5;male;ie;i;male_ie
BD54;kist;133,6500001;4;5;male;ie;ie;male_ie
BD54;kist;242,95;1;5;male;ie;i;male_ie
BD54;kist;449,65;3;5;male;ie;i;male_ie
BD54;kist;221,8000001;2;6;male;ie;i;male_ie
BD54;kist;213,8649999;4;6;male;ie;ie;male_ie
BD54;kist;577,99;1;6;male;ie;i;male_ie
BD54;kist;265,4;3;6;male;ie;ie;male_ie
BD54;kist;253,345;2;7;male;ie;ie;male_ie
BD54;kist;111,2650001;4;7;male;ie;ie;male_ie
BD54;kist;142,5;1;7;male;ie;ie;male_ie
BD54;kist;347,8349999;3;7;male;ie;ie;male_ie
BD54;kist;303,065;2;8;male;ie;ie;male_ie
BD54;kist;51,63500004;4;8;male;ie;ie;male_ie
BD54;kist;82,41000003;1;8;male;ie;ie;male_ie
BD54;kist;274,7299999;3;8;male;ie;ie;male_ie
BD54;lig;1195,79;3;1;male;ie;i;male_ie
BD54;lig;536,34;4;1;male;ie;ie;male_ie
BD54;lig;488,35;1;1;male;ie;i;male_ie
BD54;lig;358,27;2;1;male;ie;i;male_ie
BD54;lig;655,27;3;2;male;ie;ie;male_ie
BD54;lig;275,5199999;4;2;male;ie;ie;male_ie
BD54;lig;332,44;1;2;male;ie;ie;male_ie
BD54;lig;231,01;2;2;male;ie;i;male_ie
BD54;lig;252,25;3;3;male;ie;i;male_ie
BD54;lig;275,835;4;3;male;ie;ie;male_ie
BD54;lig;685,4099999;1;3;male;ie;i;male_ie
BD54;lig;314,925;2;3;male;ie;i;male_ie
BD54;lig;403,9799999;3;4;male;ie;i;male_ie
BD54;lig;205,005;4;4;male;ie;ie;male_ie
BD54;lig;108,76;1;4;male;ie;i;male_ie
BD54;lig;294,2400001;2;4;male;ie;i;male_ie
BD54;lig;302,985;3;5;male;ie;i;male_ie
BD54;lig;551,405;4;5;male;ie;i;male_ie
BD54;lig;186,0400001;1;5;male;ie;i;male_ie
BD54;lig;98,61500002;2;5;male;ie;i;male_ie
BD54;lig;245,995;3;6;male;ie;ie;male_ie
BD54;lig;333,035;4;6;male;ie;ie;male_ie
BD54;lig;112,9300001;1;6;male;ie;i;male_ie
BD54;lig;202,9200001;2;6;male;ie;i;male_ie
BD54;lig;239,2600001;3;7;male;ie;ie;male_ie
BD54;lig;927,5849999;4;7;male;ie;ie;male_ie
BD54;lig;277,84;1;7;male;ie;i;male_ie
BD54;lig;476,415;2;7;male;ie;i;male_ie
BD54;lig;336,715;3;8;male;ie;i;male_ie
BD54;lig;732,28;4;8;male;ie;i;male_ie
BD54;lig;139,75;1;8;male;ie;ie;male_ie
BD54;lig;319,26;2;8;male;ie;ie;male_ie
BD54;vis;1358,875;4;1;male;ie;i;male_ie
BD54;vis;383,3550001;1;1;male;ie;i;male_ie
BD54;vis;528,0749999;2;1;male;ie;ie;male_ie
BD54;vis;496,515;3;1;male;ie;ie;male_ie
BD54;vis;432,6149999;4;2;male;ie;ie;male_ie
BD54;vis;299,84;1;2;male;ie;ie;male_ie
