Participant;Item;Item_Type;Correct_Response;Part_Response;RT_ms;Condition;Response
BJ47;soldaat;filler;word;word;95,94;i;correct
MF86;staart;filler;word;word;96,04500001;i;correct
MF88;koorts;filler;word;word;96,04500001;i;correct
NN37;zakdoek;filler;word;word;96,1;ie;correct
NN37;kapsel;filler;word;word;96,275;ie;correct
FI42;legaal;filler;word;word;96,655;ie;correct
MU27;dorp;filler;word;word;97,14;ie;correct
KE71;pot;filler;word;word;97,16999999;ie;correct
FI17;koorts;filler;word;word;97,67499997;i;correct
MF86;aap;filler;word;word;97,68499993;i;correct
TX31;boot;filler;word;word;98,325;i;correct
NX81;offer;filler;word;word;98,75;i;correct
BC71;frank;filler;word;word;99,14999997;ie;correct
CF70;ballon;filler;word;word;99,77000003;ie;correct
NN33;water;filler;word;word;99,77500001;ie;correct
LE65;klok;filler;word;word;99,77999993;ie;correct
FF20;klok;filler;word;word;99,87500001;ie;correct
FI03;marge;filler;word;word;100,065;i;correct
NN37;koorts;filler;word;word;100,075;ie;correct
MD88;zand;filler;word;word;100,93;ie;correct
CF47;normaal;filler;word;word;101,165;i;correct
SV59;afdruk;filler;word;word;101,23;ie;correct
IU89 ;donker;filler;word;word;101,2500001;i;correct
DE53;boot;filler;word;word;101,6;i;correct
CP39;foto;filler;word;word;101,7100001;i;correct
TX60;bron;filler;word;word;101,7450001;i;correct
NN33;mosterd;filler;word;word;101,755;ie;correct
TX60;yoga;filler;word;word;101,8250003;i;correct
BC71;lag;filler;word;word;102,095;ie;correct
DF25;aap;filler;word;word;102,35;i;correct
FI03;mentaal;filler;word;word;102,495;i;correct
MH99;boot;filler;word;word;102,5500001;i;correct
FX81;genot;filler;word;word;102,64;ie;correct
IU89 ;gevaar;filler;word;word;102,7500001;i;correct
FF20;baas;filler;word;word;102,905;ie;correct
TX31;nobel;filler;word;word;102,97;i;correct
BC71;paard;filler;word;word;103,14;ie;correct
IU89 ;foto;filler;word;word;103,4049999;i;correct
NX81;hoofdstad;filler;word;word;103,42;i;correct
DV10;genot;filler;word;word;103,9099999;i;correct
BC71;marge;filler;word;word;103,965;ie;correct
FU25;donker;filler;word;word;104,22;i;correct
SV59;verstand;filler;word;word;104,94;ie;correct
LE65;lag;filler;word;word;105,085;ie;correct
FG25;normaal;filler;word;word;105,24;i;correct
GT29;boot;filler;word;word;105,245;ie;correct
XX28;klok;filler;word;word;105,29;i;correct
LO27;genot;filler;word;word;105,9050001;i;correct
TY61;mosterd;filler;word;word;106,345;i;correct
GT29;doof;filler;word;word;106,71;ie;correct
BD00;dokter;filler;word;word;106,88;ie;correct
MH99;zand;filler;word;word;106,9;i;correct
EE40;tafel;filler;word;word;106,955;ie;correct
MF88;afdruk;filler;word;word;107,345;i;correct
XX28;water;filler;word;word;107,58;i;correct
DX78;gevaar;filler;word;non-word;107,94;ie;incorrect
EE40;lag;filler;word;word;108,23;ie;correct
QX03;normaal;filler;word;word;108,46;i;correct
NX92;adel;filler;word;word;108,4700001;i;correct
FF20;aap;filler;word;word;108,55;ie;correct
GT29;offer;filler;word;word;108,655;ie;correct
LO27;los;filler;word;word;108,8050001;i;correct
TX31;last;filler;word;word;109,2;i;correct
MF88;klok;filler;word;word;109,445;i;correct
MF88;hoofdstad;filler;word;word;109,5;i;correct
SN78;voordeel;filler;word;word;110;i;correct
GF66;ballon;filler;word;word;110,05;ie;correct
CP39;koorts;filler;word;word;110,1600002;i;correct
MF88;paard;filler;word;word;110,165;i;correct
MH99;offer;filler;word;word;110,265;i;correct
BD00;baron;filler;word;word;110,71;ie;correct
NU88;zon;filler;word;word;110,8;ie;correct
NN37;mosterd;filler;word;word;110,845;ie;correct
LO27;ras;filler;word;word;110,87;i;correct
MF96;water;filler;word;word;110,935;i;correct
MU75;pakket;filler;word;word;111,025;ie;correct
IQ93;droog;filler;word;word;111,18;ie;correct
KF77;onrust;filler;word;word;111,6750001;i;correct
KF72;offer;filler;word;word;111,8;i;correct
NX81;legaal;filler;word;word;111,91;i;correct
KF77;baas;filler;word;word;112,13;i;correct
KF77;legaal;filler;word;word;112,495;i;correct
MO41;gevaar;filler;word;word;112,535;i;correct
GT29;gevaar;filler;word;word;112,94;ie;correct
FF20;bravo;filler;word;word;113,255;ie;correct
MX89;ton;filler;word;word;113,355;i;correct
MH99;adel;filler;word;word;113,535;i;correct
DV10;plank;filler;word;word;113,655;i;correct
CF70;voordeel;filler;word;word;113,73;ie;correct
SN78;donker;filler;word;word;114;i;correct
KF77;roos;filler;word;word;114,4200002;i;correct
EE40;offer;filler;word;word;114,52;ie;correct
DV10;gevaar;filler;word;word;114,72;i;correct
NX81;koorts;filler;word;word;114,91;i;correct
CF70;marge;filler;word;word;114,93;ie;correct
TY61;baas;filler;word;word;114,995;i;correct
TX60;doof;filler;word;word;115,5149997;i;correct
LF24;hoofdstad;filler;word;word;115,7;ie;correct
KF72;aanval;filler;word;non-word;115,77;i;incorrect
SN78;raak;filler;word;word;116;i;correct
LE65;raadsel;filler;word;word;116,115;ie;correct
GT29;dorp;filler;word;word;116,16;ie;correct
TX60;marge;filler;word;word;116,6100004;i;correct
MD88;vak;filler;word;non-word;116,725;ie;incorrect
FI03;offer;filler;word;word;116,955;i;correct
MX89;zakdoek;filler;word;word;117,355;i;correct
CP39;mosterd;filler;word;word;117,5900004;i;correct
MF88;adel;filler;word;word;117,62;i;correct
TY61;taal;filler;word;word;117,645;i;correct
SV59;soldaat;filler;word;word;117,775;ie;correct
MF86;genot;filler;word;word;117,8299999;i;correct
LE65;dorp;filler;word;word;118,165;ie;correct
MO41;bravo;filler;word;word;118,165;i;correct
DX78;water;filler;word;word;118,535;ie;correct
LF24;offer;filler;word;word;118,645;ie;correct
FF20;voordeel;filler;word;word;118,9;ie;correct
FI03;vak;filler;word;non-word;118,94;i;incorrect
TF36;paard;filler;word;word;119,08;i;correct
IQ93;paard;filler;word;word;119,115;ie;correct
JD97;legaal;filler;word;word;119,135;i;correct
LO27;legaal;filler;word;word;119,1699998;i;correct
NX81;yoga;filler;word;word;119,175;i;correct
GT29;frank;filler;word;word;119,225;ie;correct
NX92;zand;filler;word;word;119,3500001;i;correct
MF86;raak;filler;word;word;119,43;i;correct
UU48;last;filler;word;word;119,96;ie;correct
LO27;soldaat;filler;word;word;120,14;i;correct
LF24;tafel;filler;word;word;120,26;ie;correct
TX60;genot;filler;word;word;120,4949999;i;correct
MF88;zand;filler;word;word;120,665;i;correct
GT29;troon;filler;word;word;120,855;ie;correct
FI03;raak;filler;word;word;121,315;i;correct
KF77;normaal;filler;word;word;121,3649998;i;correct
MF96;voordeel;filler;word;word;121,605;i;correct
FG25;pakket;filler;word;word;121,625;i;correct
LE65;afdruk;filler;word;word;122,2949999;ie;correct
CP39;hoofdstad;filler;word;word;122,7550004;i;correct
MD88;onrust;filler;word;word;122,77;ie;correct
FF20;taal;filler;word;word;122,7900001;ie;correct
TY61;doof;filler;word;word;123,16;i;correct
FI03;mosterd;filler;word;word;123,255;i;correct
DE53;vak;filler;word;non-word;123,435;i;incorrect
FE43;roos;filler;word;word;123,44;i;correct
BC71;boot;filler;word;word;123,495;ie;correct
NX92;nobel;filler;word;word;123,5349998;i;correct
LD19;dorp;filler;word;word;123,5399999;i;correct
FI03;foto;filler;word;word;123,77;i;correct
DE53;zon;filler;word;word;123,865;i;correct
SN78;koorts;filler;word;word;124;i;correct
NN33;ras;filler;word;word;124,565;ie;correct
BJ47;zand;filler;word;word;124,755;i;correct
IJ89;raak;filler;word;word;124,78;i;correct
CF47;dorp;filler;word;word;125,035;i;correct
UU48;onrust;filler;word;word;125,085;ie;correct
NX92;water;filler;word;word;125,3599999;i;correct
CF70;bravo;filler;word;word;125,4200001;ie;correct
JU99;bravo;filler;word;word;125,455;i;correct
KF72;hoofdstad;filler;word;word;125,485;i;correct
BC71;droog;filler;word;word;125,59;ie;correct
MF88;taal;filler;word;word;125,805;i;correct
TX31;foto;filler;word;word;125,81;i;correct
BD00;mosterd;filler;word;word;125,8350001;ie;correct
LD19;roos;filler;word;word;126,0200001;i;correct
MH99;doof;filler;word;word;126,165;i;correct
EE40;baas;filler;word;word;126,22;ie;correct
CF47;zand;filler;word;word;126,23;i;correct
FF20;soldaat;filler;word;word;126,6350001;ie;correct
